Name_of_Campaign,Date_Campaign,Group,Division,Brand,Line,Type_of_Product,Product_Form,Formula_Number,Commercial_Shade_Name,Technical_Number,Commercial_Number,Level,Booster_Formula_Number,Alkaline_Agent,Quantity_49,Quantity_671,Developer_Strength,Developer_Formula_Number,Mixture,Processing_Time_min,Fiber_Code,Type_of_Fibre,Fiber,Percent_White,Fiber_Origin,L_Transposed,a_Transposed,b_Transposed,C_Transposed,H_Transposed
TEST,10/19/2009,HENKEL,SCHWARZKOPF PROFESSIONAL,IGORA,IGORA VIBRANCE HYDROCARE,Coloration Acide,Gel,EMPTY,Chatain fonce naturel beige,,4-Mar,3,EMPTY,,0,,20V,EMPTY,1+1,20,BN,Meche,BN,90,Caucasien,25.63,3.85,5.09,6.38,52.9
TEST,10/19/2009,HENKEL,SCHWARZKOPF PROFESSIONAL,IGORA,IGORA VIBRANCE HYDROCARE,Coloration Acide,Gel,EMPTY,Chatain moyen cendre fume,,12-Apr,4,EMPTY,,0,,20V,EMPTY,1+1,20,BN,Meche,BN,90,Caucasien,25.8,0.03,-3.14,3.14,-89.45
TEST,10/19/2009,HENKEL,SCHWARZKOPF PROFESSIONAL,IGORA,IGORA VIBRANCE HYDROCARE,Coloration Acide,Gel,EMPTY,Chatain moyen acajou violet,,Apr-69,4,EMPTY,,0,,20V,EMPTY,1+1,20,BN,Meche,BN,90,Caucasien,22.81,8,1.73,8.18,12.2
TEST,10/19/2009,HENKEL,SCHWARZKOPF PROFESSIONAL,IGORA,IGORA VIBRANCE HYDROCARE,Coloration Acide,Gel,EMPTY,Chatain clair dore acajou,,May-56,5,EMPTY,,0,,20V,EMPTY,1+1,20,BN,Meche,BN,90,Caucasien,24.17,6.93,4.37,8.19,32.24
TEST,10/19/2009,HENKEL,SCHWARZKOPF PROFESSIONAL,IGORA,IGORA VIBRANCE HYDROCARE,Coloration Acide,Gel,EMPTY,Chatain clair rouge acajou,,May-86,5,EMPTY,,0,,20V,EMPTY,1+1,20,BN,Meche,BN,90,Caucasien,31.87,25.18,16.07,29.87,32.55
TEST,10/19/2009,HENKEL,SCHWARZKOPF PROFESSIONAL,IGORA,IGORA VIBRANCE HYDROCARE,Coloration Acide,Gel,EMPTY,Blond fonce naturel beige,,4-Jun,6,EMPTY,,0,,20V,EMPTY,1+1,20,BN,Meche,BN,90,Caucasien,33.84,4.15,7.56,8.62,61.24
TEST,10/19/2009,HENKEL,SCHWARZKOPF PROFESSIONAL,IGORA,IGORA VIBRANCE HYDROCARE,Coloration Acide,Gel,EMPTY,Blond moyen beige acajou,,Jul-46,7,EMPTY,,0,,20V,EMPTY,1+1,20,BN,Meche,BN,90,Caucasien,31.61,5.99,8.46,10.37,54.7
TEST,10/19/2009,HENKEL,SCHWARZKOPF PROFESSIONAL,IGORA,IGORA VIBRANCE HYDROCARE,Coloration Acide,Gel,EMPTY,Blond clair naturel beige,,4-Aug,8,EMPTY,,0,,20V,EMPTY,1+1,20,BN,Meche,BN,90,Caucasien,46.04,4.13,9.56,10.41,66.64
TEST,10/19/2009,HENKEL,SCHWARZKOPF PROFESSIONAL,IGORA,IGORA VIBRANCE HYDROCARE,Coloration Acide,Gel,EMPTY,Blond tres clair naturel perle,,9-Sep,9,EMPTY,,0,,20V,EMPTY,1+1,20,BN,Meche,BN,90,Caucasien,48.1,4.62,8.58,9.74,61.7
